cylinder,seek_distance,deadline,priority,size,type,importance_score
177,6,435,2,183,0,0.334316
33,144,185,2,265,0,0.701906
153,120,448,0,248,1,0.264566
28,125,53,1,902,1,0.709887
125,97,340,0,933,1,0.346083
140,15,225,0,164,0,0.229867
30,110,418,0,424,1,0.302914
22,8,48,0,480,1,0.322134
14,8,463,2,539,0,0.338285
141,127,499,2,951,1,0.573047
122,19,231,1,332,0,0.371939
23,99,329,1,761,0,0.49054
100,77,254,2,443,0,0.592448
159,59,307,0,45,0,0.222731
47,112,260,0,421,0,0.392823
121,74,333,2,900,0,0.540056
58,63,232,1,30,0,0.428103
52,6,494,1,486,0,0.19608
78,26,474,0,612,0,0.124944
70,8,400,1,204,0,0.206571
99,29,50,2,741,0,0.681638
41,58,119,0,790,1,0.402978
78,37,184,2,896,0,0.590625
124,46,66,2,595,1,0.675193
77,47,453,2,842,0,0.433277
131,54,140,1,539,1,0.516811
23,108,388,0,255,1,0.306484
27,4,452,2,749,1,0.397563
173,146,147,1,927,0,0.707632
92,81,363,1,970,0,0.45166
121,29,333,2,996,0,0.475662
147,26,321,2,252,0,0.454478
29,118,5,1,170,0,0.626565
194,165,277,1,10,1,0.547641
84,110,268,0,30,0,0.361416
177,93,7,0,452,1,0.519079
83,94,459,2,664,1,0.50363
81,2,380,0,48,0,0.087482
120,39,311,1,214,1,0.307155
38,82,184,2,723,1,0.667283
121,83,455,0,831,1,0.239603
196,75,215,0,773,0,0.396496
129,67,42,1,858,1,0.563018
14,115,499,1,117,1,0.331863
139,125,269,0,210,0,0.382556
6,133,296,2,739,1,0.675886
20,14,343,0,705,1,0.169594
56,36,86,1,585,0,0.530653
60,4,21,1,148,0,0.435694
0,60,231,2,466,1,0.536675
3,3,433,2,883,0,0.386219
157,154,496,0,699,1,0.340525
90,67,131,0,97,0,0.344626
39,51,493,1,936,0,0.319735
85,46,433,1,174,0,0.2657
138,53,409,2,839,0,0.481046
146,8,143,1,27,1,0.356834
57,89,367,2,852,0,0.557089
33,24,490,2,815,1,0.369781
191,158,292,0,211,0,0.407482
126,65,444,1,415,0,0.326432
196,70,141,2,212,1,0.643938
61,135,428,1,97,0,0.39099
22,39,92,2,29,0,0.550424
76,54,345,1,258,1,0.334784
65,11,184,0,923,0,0.291889
143,78,203,1,448,0,0.488407
143,0,368,1,89,0,0.204966
14,129,231,1,24,1,0.504645
117,103,422,0,244,1,0.253677
68,49,295,2,541,0,0.523866
122,54,258,1,450,0,0.382705
78,44,137,1,388,0,0.436429
107,29,324,0,738,0,0.227834
143,36,131,0,743,0,0.379214
58,85,375,2,609,0,0.547764
39,19,245,1,249,1,0.318881
141,102,268,0,415,1,0.34885
189,48,266,1,178,0,0.363335
88,101,26,0,202,0,0.485194
199,111,399,0,492,0,0.325515
36,163,496,0,399,1,0.363261
163,127,373,2,159,1,0.555281
197,34,95,0,337,0,0.344219
59,138,314,2,22,0,0.603388
29,30,84,1,275,1,0.453323
132,103,328,1,421,0,0.435296
173,41,224,1,693,1,0.405014
16,157,436,2,571,0,0.65816
128,112,293,1,791,1,0.491918
174,46,33,0,447,1,0.420513
6,168,436,1,973,0,0.587806
103,97,287,1,934,0,0.484489
15,88,444,1,627,0,0.372045
35,20,34,0,187,0,0.331943
97,62,122,0,749,1,0.435965
65,32,59,1,662,0,0.512741
17,48,151,2,595,0,0.570824
160,143,240,2,700,0,0.726728
40,120,329,1,12,1,0.430424
174,134,198,0,145,1,0.412852
35,139,242,0,567,0,0.445222
103,68,368,0,228,0,0.199131
145,42,209,0,423,0,0.316442
96,49,410,2,671,0,0.469823
83,13,62,0,772,0,0.364501
150,67,396,2,738,0,0.496588
2,148,401,0,466,0,0.349805
165,163,291,0,403,0,0.487602
137,28,152,1,974,0,0.503409
152,15,7,1,625,0,0.509041
84,68,492,2,691,0,0.421109
76,8,16,0,197,1,0.324815
114,38,48,0,488,1,0.418763
128,14,99,0,614,0,0.340806
185,57,100,0,22,0,0.344207
171,14,137,0,471,0,0.284697
10,161,111,0,200,0,0.568198
30,20,233,1,203,1,0.331255
189,159,449,1,783,1,0.508072
77,112,193,0,765,0,0.440151
116,39,74,2,694,1,0.632952
11,105,79,2,705,1,0.764854
20,9,425,0,135,1,0.073767
81,61,52,0,238,1,0.422991
143,62,475,2,474,0,0.383849
154,11,15,2,618,0,0.637549
178,24,25,0,379,0,0.374075
39,139,39,0,614,1,0.57079
40,1,462,0,171,1,0.007017
108,68,5,2,692,1,0.760776
109,1,443,2,335,0,0.37188
7,102,20,0,398,0,0.518868
89,82,359,1,241,1,0.379015
179,90,226,2,101,0,0.553721
32,147,126,2,986,1,0.80466
164,132,339,0,496,1,0.383205
89,75,357,0,902,1,0.268096
104,15,212,2,388,1,0.48463
128,24,57,0,856,1,0.38152
141,13,134,1,729,0,0.402455
127,14,14,0,1012,0,0.402224
20,107,309,0,506,0,0.364462
59,39,181,2,521,0,0.559935
169,110,318,0,965,1,0.415369
8,161,272,2,117,1,0.644414
143,135,356,2,666,1,0.638956
104,39,230,0,141,1,0.262816
23,81,145,1,942,1,0.588691
24,1,313,0,660,1,0.17827
196,172,478,2,440,0,0.627506
6,190,347,0,825,0,0.521209
4,2,90,1,394,0,0.446347
3,1,131,0,398,1,0.222809
125,122,481,2,922,1,0.583835
185,60,360,0,906,1,0.293275
34,151,318,0,188,1,0.372455
159,125,363,0,601,0,0.367631
143,16,139,0,961,0,0.33243
45,98,460,0,291,0,0.210024
14,31,103,1,166,0,0.457116
97,83,471,2,259,0,0.408357
16,81,119,0,71,0,0.372801
22,6,160,0,609,0,0.270075
93,71,324,0,312,1,0.250028
163,70,251,1,522,0,0.44106
198,35,479,0,372,1,0.067113
125,73,427,0,102,0,0.198312
55,70,434,2,418,0,0.497427
65,10,286,1,827,0,0.339321
122,57,490,2,226,0,0.361222
34,88,365,1,975,1,0.445193
103,69,164,0,762,1,0.421547
153,50,300,1,850,0,0.427815
168,15,196,0,664,1,0.279694
11,157,140,2,164,0,0.759958
57,46,374,2,257,1,0.472123
50,7,207,1,145,0,0.305816
110,60,128,1,342,1,0.499133
37,73,429,2,137,0,0.446873
190,153,171,0,472,0,0.505541
183,7,372,2,308,0,0.326216
66,117,146,1,595,1,0.578513
81,15,194,1,844,0,0.393366
87,6,206,2,133,1,0.438881
8,79,244,1,171,1,0.41803
177,169,387,2,196,0,0.664424
155,22,179,2,953,1,0.551771
66,89,9,1,690,0,0.658002
109,43,81,0,951,1,0.409138
76,33,17,2,459,0,0.652356
45,31,456,1,947,0,0.286677
60,15,6,2,660,1,0.6334
21,39,460,2,358,1,0.390713
161,140,321,1,923,1,0.543719
130,31,9,0,43,0,0.358686
186,56,186,2,292,1,0.569305
1,185,388,2,591,1,0.670905
126,125,238,1,945,0,0.612224
112,14,404,0,42,1,0.08924
124,12,235,2,91,0,0.430575
197,73,183,2,899,1,0.668649
78,119,105,1,747,1,0.652648
28,50,333,1,773,1,0.406622
2,26,396,1,524,0,0.302575
98,96,345,0,29,1,0.259468
34,64,97,2,824,1,0.688773
28,6,180,2,215,1,0.478908
29,1,343,0,234,1,0.182195
55,26,110,0,492,1,0.322229
23,32,371,2,740,1,0.465828
97,74,460,0,1014,0,0.237414
130,33,131,0,941,0,0.335379
57,73,186,1,126,1,0.451335
27,30,356,2,717,0,0.468904
114,87,373,0,559,1,0.228016
17,97,112,1,497,0,0.56144
147,130,245,1,294,1,0.536932
76,71,265,1,309,0,0.402547
81,5,417,2,974,1,0.39671
49,32,359,0,441,1,0.207102
56,7,76,1,298,1,0.451451
29,27,77,1,849,1,0.523513
111,82,452,0,154,0,0.197726
29,82,340,1,831,1,0.439337
136,107,432,0,441,0,0.271228
51,85,70,2,385,0,0.670626
113,62,266,2,405,1,0.55807
107,6,40,2,464,1,0.573393
126,19,241,2,560,0,0.514294
151,25,177,1,588,0,0.451169
112,39,161,2,689,1,0.568666
170,58,113,2,959,0,0.677236
51,119,69,1,338,0,0.67123
150,99,78,2,182,0,0.712834
68,82,269,0,361,0,0.303816
125,57,132,2,170,1,0.55618
98,27,154,2,365,0,0.521012
181,83,382,0,868,1,0.297322
54,127,206,2,779,0,0.708499
103,49,430,1,583,1,0.291363
32,71,315,2,923,1,0.563477
126,94,468,1,877,1,0.378803
7,119,352,1,364,0,0.446947
82,75,475,2,961,0,0.520895
1,81,364,1,780,1,0.440406
65,64,316,2,647,1,0.559017
96,31,191,2,475,0,0.54155
66,30,348,1,63,1,0.291921
77,11,206,0,704,0,0.234434
29,48,156,0,153,0,0.286362
142,113,19,0,921,1,0.585542
159,17,448,2,808,0,0.339173
90,69,152,2,1017,0,0.691156
11,79,177,2,817,1,0.644586
12,1,396,1,563,0,0.238916
134,122,368,2,229,1,0.551556
185,51,336,0,998,1,0.280946
172,13,393,1,698,1,0.255766
81,91,487,0,325,1,0.204967
99,18,489,0,758,1,0.123849
32,67,238,2,339,1,0.537404
14,18,20,0,113,0,0.334865
153,139,65,1,922,0,0.730269
85,68,129,2,16,1,0.595138
99,14,271,1,376,1,0.345262
68,31,238,0,94,1,0.214389
62,6,307,2,187,1,0.395962
197,135,399,1,648,0,0.494717
163,34,359,1,232,1,0.32097
138,25,364,1,313,1,0.23886
77,61,425,2,92,0,0.427361
144,67,42,0,631,1,0.491566
67,77,198,0,524,1,0.35784
103,36,429,2,576,0,0.437926
29,74,67,1,474,0,0.549383
141,112,209,0,398,1,0.388302
12,129,393,1,880,1,0.538464
144,132,428,1,881,0,0.458643
120,24,412,1,536,1,0.289005
13,107,442,1,409,1,0.374827
101,88,33,2,247,1,0.72645
44,57,459,0,357,1,0.158062
95,51,248,1,811,0,0.410982
2,93,393,2,150,0,0.440543
144,142,138,0,568,1,0.491223
101,43,377,1,745,0,0.38879
72,29,73,0,497,1,0.378562
175,103,257,0,389,1,0.352185
128,47,23,0,596,0,0.414205
121,7,280,2,919,1,0.490793
29,92,495,1,749,0,0.359538
100,71,260,0,418,1,0.327028
140,40,25,0,456,0,0.444976
185,45,260,2,217,1,0.474451
120,65,105,2,11,0,0.628128
34,86,109,0,616,1,0.452653
135,101,292,1,247,0,0.478827
14,121,167,1,630,1,0.582884
62,48,194,0,981,0,0.367507
183,121,92,0,509,1,0.518307
160,23,319,0,863,1,0.259643
180,20,360,1,635,0,0.327306
70,110,447,1,31,1,0.398202
136,66,213,2,835,1,0.604568
140,4,17,1,133,1,0.456741
49,91,125,0,133,1,0.377019
188,139,492,2,348,0,0.518884
193,5,400,0,444,1,0.12666
22,171,269,1,303,1,0.608046
153,131,448,1,1003,0,0.496429
89,64,129,0,628,1,0.40207
134,45,7,0,486,1,0.432018
110,24,329,2,128,1,0.383719
44,66,439,0,311,1,0.197595
19,25,70,1,29,1,0.416797
102,83,18,2,324,0,0.756029
167,65,370,0,56,0,0.200318
164,3,356,2,581,1,0.416325
54,110,25,2,367,1,0.752676
172,118,439,2,493,0,0.517784
71,101,489,2,786,1,0.521118
112,41,121,1,439,0,0.434314
64,48,422,0,1005,1,0.226877
104,40,472,2,518,1,0.40296
105,1,226,0,550,0,0.202843
139,34,361,1,409,0,0.33114
94,45,239,0,716,0,0.320678
105,11,491,1,693,1,0.205565
130,25,50,1,439,0,0.495889
83,47,103,2,203,1,0.570711
104,21,121,1,182,0,0.444995
17,87,68,2,289,0,0.659248
173,156,40,1,639,1,0.737913
25,148,332,2,774,0,0.688543
174,149,299,0,252,0,0.394621
152,22,259,2,581,1,0.483594
189,37,372,2,589,0,0.43073
4,185,408,0,487,1,0.433081
43,39,138,1,184,1,0.419393
10,33,217,1,1020,1,0.45607
83,73,327,1,291,0,0.410013
180,97,5,1,448,0,0.658023
153,27,256,1,391,1,0.337903
140,13,245,1,932,0,0.411909
169,29,140,0,814,1,0.369069
0,169,334,2,406,1,0.668212
157,157,168,2,860,0,0.789477
62,95,159,1,965,0,0.60358
138,76,364,2,900,1,0.534165
152,14,253,0,7,1,0.171811
137,15,103,2,348,0,0.546795
83,54,303,0,1021,1,0.333923
122,39,167,2,524,0,0.584436
93,29,360,0,109,1,0.18871
125,32,243,1,634,0,0.377141
91,34,121,2,1003,1,0.629945
78,13,45,1,284,1,0.443426
40,38,138,0,510,0,0.361819
77,37,330,2,14,1,0.408859
144,67,344,1,1005,0,0.414116
174,30,414,2,920,0,0.478726
20,154,180,0,38,1,0.502102
36,16,458,0,372,1,0.072429
101,65,376,1,616,0,0.372614
140,39,168,0,95,1,0.281408
33,107,137,0,92,0,0.446157
64,31,287,1,756,0,0.370645
9,55,378,1,923,0,0.357157
10,1,238,2,1018,0,0.472172
28,18,82,1,79,0,0.375985
145,117,384,1,666,1,0.481761
173,28,228,2,267,1,0.477523
99,74,19,2,576,0,0.729215
35,64,99,0,287,0,0.362006
184,149,290,2,456,1,0.701064
55,129,260,2,171,0,0.655554
30,25,87,0,266,0,0.31577
27,3,351,0,112,0,0.096683
70,43,319,1,878,0,0.364723
147,77,266,0,413,0,0.296424
79,68,41,1,602,0,0.582562
89,10,84,2,942,1,0.621828
68,21,94,2,80,1,0.537481
188,120,461,2,439,0,0.529317
136,52,116,2,393,0,0.606126
132,4,7,1,760,0,0.473062
87,45,146,1,494,1,0.452217
106,19,366,2,285,1,0.387408
176,70,109,2,1005,1,0.69282
131,45,362,0,376,1,0.169648
162,31,18,0,563,0,0.388485
8,154,448,0,82,0,0.296595
171,163,275,2,857,0,0.724294
190,19,431,1,861,0,0.308922
133,57,361,0,462,0,0.240936
191,58,79,1,404,0,0.529708
113,78,333,2,625,1,0.534331
55,58,473,2,535,1,0.397485
121,66,241,1,339,1,0.440182
125,4,79,1,162,1,0.409236
28,97,278,0,560,0,0.334934
40,12,284,2,603,1,0.448645
58,18,391,2,274,1,0.425475
109,51,82,1,101,0,0.499905
29,80,329,0,927,1,0.317961
154,125,192,0,504,1,0.442959
21,133,124,1,395,1,0.63926
187,166,397,2,919,0,0.693691
135,52,276,1,346,1,0.377696
67,68,468,1,969,1,0.376655
74,7,121,2,487,0,0.52949
138,64,163,1,953,0,0.538307
17,121,458,0,254,1,0.246005
143,126,220,2,940,0,0.693884
110,33,199,0,115,1,0.280607
44,66,402,0,602,1,0.214476
179,135,58,1,232,1,0.679779
125,54,300,2,258,1,0.475822
32,93,179,0,217,0,0.371645
131,99,449,0,816,0,0.290956
82,49,68,1,650,1,0.514059
152,70,167,0,71,1,0.330917
98,54,98,2,962,1,0.673716
199,101,97,1,998,1,0.670901
185,14,130,2,46,1,0.46864
8,177,276,0,792,0,0.530912
82,74,249,1,763,1,0.519551
40,42,236,1,524,0,0.457406
90,50,439,0,151,1,0.125485
29,61,441,0,994,0,0.227808
107,78,109,0,588,1,0.448711
30,77,49,0,625,0,0.413403
124,94,339,0,1001,1,0.372577
90,34,27,0,35,1,0.368814
198,108,304,1,68,0,0.44607
175,23,91,0,667,0,0.340718
120,55,89,0,951,1,0.429483
89,31,337,2,683,1,0.48548
143,54,387,1,224,1,0.3328
133,10,166,0,56,0,0.237026
27,106,182,1,296,0,0.517037
75,48,53,0,467,1,0.422658
198,123,448,0,461,0,0.289971
63,135,443,2,714,0,0.56857
2,61,83,1,32,0,0.475615
166,164,382,2,853,1,0.702634
186,20,460,2,272,0,0.313184
131,55,442,0,161,0,0.154609
126,5,215,0,810,0,0.243646
70,56,60,0,78,0,0.389507
71,1,262,0,115,0,0.144384
182,111,161,2,214,1,0.667587
171,11,177,1,467,0,0.399088
99,72,314,1,458,1,0.419675
62,37,288,1,707,1,0.409097
37,25,44,0,280,1,0.324218
2,35,314,0,995,0,0.320023
96,94,495,2,727,1,0.495709
110,14,101,1,601,1,0.453744
134,24,496,2,669,1,0.35308
161,27,56,2,71,1,0.571658
73,88,261,0,516,1,0.364984
33,40,52,1,395,1,0.51573
168,135,496,1,979,1,0.456355
152,16,396,0,628,0,0.164724
106,46,468,1,965,1,0.37515
7,99,25,0,899,0,0.515963
93,86,306,0,410,1,0.287427
123,30,414,0,83,0,0.119281
171,48,46,1,280,1,0.537243
101,70,466,0,515,0,0.221442
92,9,67,0,663,1,0.334085
75,17,59,1,808,0,0.523546
82,7,152,0,603,1,0.282341
3,79,459,0,790,0,0.275682
20,17,412,0,699,1,0.143192
151,131,218,1,51,0,0.52734
72,79,272,1,134,0,0.393884
170,98,24,0,399,0,0.485255
79,91,416,2,448,1,0.479001
199,120,30,0,20,1,0.522628
36,163,357,0,977,0,0.466692
37,1,188,2,757,0,0.504713
117,80,408,0,834,1,0.272469
160,43,18,0,153,1,0.386871
28,132,136,1,882,0,0.652956
100,72,327,1,882,0,0.45008
44,56,351,1,820,1,0.364894
147,103,7,1,573,0,0.686961
112,35,43,1,193,1,0.485132
130,18,185,1,837,0,0.459887
53,77,346,1,838,0,0.443744
57,4,317,2,47,0,0.385894
127,70,246,1,129,1,0.405672
70,57,295,0,742,1,0.317889
138,68,171,2,241,0,0.613594
30,108,287,0,976,0,0.422018
60,30,349,2,482,0,0.454209
20,40,109,2,943,1,0.659568
17,3,8,1,443,1,0.458968
52,35,147,2,516,1,0.59524
97,45,386,0,849,1,0.209847
28,69,420,1,494,1,0.379197
18,10,270,0,513,0,0.168884
175,157,428,1,902,1,0.516461
103,72,218,1,35,1,0.406608
143,40,363,1,66,1,0.294375
145,2,267,1,818,0,0.347045
20,125,5,2,124,1,0.790158
124,104,139,0,477,0,0.426187
172,48,337,2,37,0,0.418114
89,83,310,1,187,0,0.431992
172,83,370,0,261,0,0.232478
189,17,118,1,94,1,0.414472
109,80,96,0,795,1,0.438097
20,89,464,0,1000,0,0.272329
123,103,186,1,1013,1,0.564561
176,53,391,2,389,1,0.438698
115,61,33,0,158,0,0.389878
160,45,442,2,515,1,0.431438
107,53,432,1,934,1,0.380376
83,24,359,1,753,0,0.299923
189,106,148,1,662,1,0.576538
30,159,45,2,915,0,0.888139
89,59,108,1,399,0,0.487368
31,58,262,1,156,1,0.368521
130,99,476,0,680,0,0.281591
184,54,353,2,322,1,0.466252
199,15,241,0,1001,1,0.282064
46,153,310,1,389,1,0.538863
145,99,370,1,807,0,0.472086
174,29,343,1,494,1,0.314875
166,8,57,0,258,1,0.278292
100,66,270,1,581,1,0.447166
34,66,450,0,1009,0,0.265761
92,58,318,0,221,1,0.276583
155,63,192,1,310,1,0.458733
123,32,282,2,603,1,0.49726
77,46,361,2,483,1,0.446392
43,34,43,1,40,0,0.451834
130,87,96,1,53,0,0.525708
85,45,294,0,971,0,0.306746
94,9,50,1,521,1,0.426525
187,93,235,0,904,1,0.424568
1,186,381,2,926,0,0.731946
47,46,254,0,161,1,0.218914
183,136,403,2,658,0,0.576279
184,1,41,2,77,1,0.5223
60,124,233,0,938,0,0.464953
198,138,452,1,745,0,0.445451
42,156,302,2,525,0,0.695835
10,32,420,2,478,1,0.39354
61,51,204,0,386,1,0.287852
106,45,29,0,801,0,0.44694
1,105,155,0,864,1,0.509794
34,33,450,0,26,1,0.078702
158,124,114,1,716,1,0.637764
124,34,422,2,721,1,0.405675
121,3,319,2,293,1,0.391357
197,76,389,2,603,1,0.517293
45,152,474,1,150,1,0.39349
179,134,465,2,729,0,0.562815
71,108,255,2,315,0,0.637432
184,113,331,2,765,1,0.617995
156,28,60,2,979,1,0.689232
42,114,65,1,889,1,0.70787
41,1,462,1,209,1,0.174267
108,67,84,2,180,1,0.646443
100,8,30,2,863,0,0.630578
46,54,40,2,946,0,0.753907
52,6,12,0,168,0,0.346401
179,127,212,2,603,1,0.667167
150,29,46,2,664,1,0.647533
38,112,86,1,406,1,0.629906
145,107,441,1,157,1,0.403755
30,115,22,2,355,0,0.797124
89,59,62,2,813,0,0.70332
2,87,260,0,1024,0,0.376916
129,127,107,0,189,1,0.483953
36,93,156,1,501,1,0.536473
47,11,235,2,322,0,0.459313
37,10,103,1,466,1,0.423254
36,1,365,2,342,0,0.36492
15,21,352,0,459,0,0.146903
110,95,13,1,637,1,0.629433
173,63,288,1,999,0,0.465705
60,113,169,1,490,0,0.554328
155,95,277,1,907,0,0.51702
108,47,329,2,915,1,0.559452
50,58,179,1,152,0,0.422675
12,38,306,0,1010,0,0.321178
156,144,378,2,999,0,0.654977
4,152,402,1,347,0,0.464434
84,80,80,2,446,1,0.711611
6,78,279,2,80,0,0.566623
155,149,225,1,417,1,0.601899
197,42,450,2,147,1,0.392359
64,133,196,1,168,1,0.540103
62,2,121,0,870,1,0.297138
112,50,399,0,153,0,0.147307
100,12,199,0,701,1,0.254012
76,24,97,2,315,0,0.578908
73,3,271,0,127,1,0.154866
37,36,493,2,168,0,0.347707
50,13,152,1,967,1,0.453229
117,67,83,2,338,0,0.668187
146,29,238,0,799,1,0.296388
150,4,222,0,482,0,0.227932
103,47,153,2,168,0,0.544538
150,47,305,1,372,0,0.36864
118,32,15,1,700,0,0.496723
71,47,214,1,778,1,0.405752
70,1,71,2,529,1,0.558416
103,33,438,2,213,1,0.370286
61,42,277,2,261,1,0.461897
152,91,323,2,203,0,0.548133
37,115,302,1,720,1,0.515974
10,27,342,0,512,0,0.190334
98,88,342,0,731,0,0.305974
14,84,441,0,872,1,0.269087
38,24,308,0,696,1,0.237665
75,37,68,2,469,0,0.602746
0,75,189,2,1002,0,0.656218
44,44,226,2,873,1,0.591902
108,64,453,1,370,0,0.309034
74,34,203,2,500,0,0.540076
179,105,434,1,929,1,0.412625
18,161,376,0,656,0,0.428712
143,125,198,1,259,1,0.573285
118,25,421,2,564,0,0.394587
128,10,239,1,625,0,0.372879
134,6,227,2,1020,1,0.551856
10,124,69,0,747,0,0.556045
158,148,62,1,488,1,0.679872
66,92,277,0,214,0,0.294595
130,64,381,2,706,1,0.505875
58,72,424,2,178,0,0.382493
79,21,392,0,747,1,0.1759
140,61,227,0,552,1,0.326587
186,46,141,2,864,1,0.619601
175,11,206,0,672,0,0.222432
145,30,89,0,695,1,0.378207
107,38,263,2,234,0,0.490483
105,2,74,1,965,1,0.480465
193,88,380,0,466,0,0.27373
41,152,55,0,863,0,0.608516
190,149,207,1,1003,1,0.712005
129,61,148,2,884,0,0.666285
123,6,314,1,902,1,0.378348
118,5,359,1,987,1,0.286306
162,44,198,2,418,1,0.5538
136,26,146,2,328,1,0.526314
18,118,460,0,345,1,0.282036
156,138,419,2,615,0,0.589849
145,11,422,0,26,1,0.069201
183,38,170,1,91,1,0.459407
187,4,26,2,559,1,0.559858
189,2,354,2,616,1,0.391795
8,181,108,1,833,1,0.764178
126,118,109,0,175,1,0.461471
186,60,399,0,353,0,0.194071
193,7,61,2,536,1,0.544617
109,84,418,1,727,1,0.381949
182,73,124,0,247,0,0.40083
176,6,168,1,882,1,0.41953
0,176,315,1,942,0,0.653864
176,176,346,1,404,1,0.523439
127,49,333,2,113,1,0.472856
114,13,256,2,60,1,0.390512
35,79,312,1,493,0,0.413882
183,148,192,1,52,1,0.554013
59,124,213,2,799,1,0.717297
83,24,65,0,497,0,0.359171
59,24,281,1,424,0,0.308275
193,134,176,2,512,1,0.739766
96,97,471,1,473,1,0.384006
22,74,481,0,898,0,0.258126
2,20,42,2,852,0,0.653796
196,194,321,2,254,0,0.712633
47,149,45,1,537,0,0.708258
154,107,182,2,976,0,0.704014
5,149,249,2,693,1,0.740521
179,174,147,1,153,1,0.639322
130,49,401,0,183,0,0.165116
44,86,9,2,638,0,0.74047
177,133,439,0,945,0,0.3622
59,118,490,1,338,0,0.400026
199,140,366,2,713,1,0.65258
119,80,495,1,539,1,0.327561
89,30,114,1,1000,1,0.516571
11,78,311,0,95,0,0.281598
52,41,380,1,866,1,0.346777
11,41,176,2,938,0,0.612863
170,159,112,0,901,0,0.599726
20,150,195,1,230,1,0.611732
22,2,12,0,588,1,0.347712
24,2,265,0,24,0,0.180512
194,170,80,1,673,0,0.731338
194,0,160,1,829,0,0.37409
142,52,484,0,686,1,0.148779
14,128,39,1,916,1,0.721117
100,86,358,1,527,0,0.372392
189,89,126,2,268,0,0.676011
19,170,77,1,528,1,0.705894
158,139,277,1,877,1,0.604166
3,155,158,1,893,1,0.735955
160,157,343,0,610,1,0.429756
108,52,442,2,508,0,0.416522
177,69,360,1,577,1,0.360283
82,95,358,1,345,1,0.418482
157,75,318,2,1023,0,0.586234
168,11,125,1,509,1,0.433258
64,104,228,2,153,1,0.604384
128,64,488,0,847,1,0.196024
92,36,266,1,717,1,0.407942
86,6,293,0,716,1,0.23673
159,73,315,0,836,0,0.358712
45,114,276,2,37,0,0.596787
23,22,61,1,536,1,0.497081
96,73,295,2,629,1,0.585154
164,68,84,2,997,1,0.709558
32,132,367,0,772,0,0.37685
68,36,449,2,1014,1,0.455044
133,65,135,2,792,1,0.673063
95,38,150,2,651,1,0.59787
121,26,16,2,105,1,0.595529
105,16,163,0,38,0,0.2228
162,57,327,2,731,0,0.560701
175,13,91,2,908,1,0.628264
89,86,239,0,124,1,0.307586
86,3,404,1,810,0,0.254345
55,31,406,0,424,0,0.173733
88,33,21,1,100,1,0.456007
167,79,464,1,823,1,0.349137
100,67,423,1,1015,0,0.391042
138,38,307,0,517,0,0.247191
83,55,402,0,84,0,0.193499
141,58,299,1,419,1,0.342775
142,1,209,2,1017,1,0.514777
105,37,319,1,440,1,0.372969
186,81,444,0,837,1,0.262965
175,11,43,1,657,0,0.490412
31,144,367,2,84,1,0.598613
45,14,184,2,95,0,0.44467
190,145,426,0,945,0,0.349126
80,110,330,1,694,0,0.514654
62,18,53,1,713,1,0.505594
159,97,265,0,989,1,0.402171
120,39,418,2,679,0,0.447352
26,94,393,0,259,1,0.196842
18,8,344,1,934,1,0.342484
161,143,63,1,311,0,0.676488
152,9,497,2,837,0,0.349729
70,82,320,0,868,1,0.322692
172,102,407,0,284,1,0.258245
25,147,420,2,771,0,0.613922
173,148,495,2,815,1,0.573737
15,158,333,1,651,1,0.541741
127,112,276,2,324,0,0.616703
168,41,43,2,331,0,0.648744
123,45,71,0,1009,1,0.428436
155,32,333,2,319,1,0.443121
68,87,463,1,461,1,0.35283
57,11,425,2,651,1,0.381859
53,4,426,0,679,1,0.120045
23,30,78,2,924,0,0.651114
55,32,227,1,139,0,0.355295
49,6,311,0,507,1,0.179863
151,102,311,0,79,1,0.307656
42,109,245,2,998,0,0.714309
33,9,470,2,350,1,0.341233
146,113,116,1,528,0,0.610161
107,39,418,0,635,0,0.149692
43,64,223,2,393,0,0.551837
141,98,323,0,95,0,0.316895
43,98,214,2,898,1,0.693617
157,114,183,2,869,1,0.746088
6,151,287,0,581,1,0.446472
118,112,270,1,134,1,0.497853
119,1,375,1,434,1,0.216477
74,45,40,0,511,1,0.383529
137,63,52,1,12,0,0.476889
75,62,193,2,111,1,0.54122
130,55,104,0,455,0,0.371374
44,86,359,2,835,0,0.608551
113,69,322,2,12,0,0.459995
151,38,75,0,125,0,0.300669
193,42,65,0,990,1,0.420436
72,121,422,0,453,1,0.281228
94,22,330,1,827,1,0.321725
95,1,447,1,795,1,0.271749
172,77,330,2,883,0,0.596562
192,20,204,0,859,0,0.272243
129,63,171,1,701,0,0.50455
164,35,416,2,771,0,0.422523
16,148,494,1,333,1,0.392797
151,135,220,1,281,1,0.537845
162,11,239,1,503,0,0.351376
142,20,201,0,644,0,0.254916
116,26,481,1,317,1,0.204925
179,63,64,2,976,1,0.725628
130,49,93,1,953,1,0.480938
169,39,411,0,411,0,0.16994
36,133,468,0,143,1,0.248114
133,97,141,2,289,0,0.661318
87,46,290,0,840,1,0.261423
173,86,146,1,995,1,0.585629
176,3,494,2,454,1,0.288272
168,8,39,0,188,1,0.289487
43,125,300,0,933,0,0.428323
98,55,297,2,331,0,0.482906
0,98,465,0,192,0,0.229657
195,195,284,0,640,0,0.51425
51,144,177,0,17,0,0.470539
124,73,248,2,133,1,0.551352
97,27,318,2,730,1,0.467611
180,83,425,2,937,1,0.531981
164,16,20,1,559,1,0.520703
155,9,359,2,1002,1,0.455614
